samples	condition	class
c2_01	treat0	treat
c2_02	treat0	treat
c2_03	treat0	treat
c2_11	treat1	treat
c2_12	treat1	treat
c2_13	treat1	treat
c2_21	treat2	treat
c2_22	treat2	treat
c2_23	treat2	treat
c2_31	treat3	treat
c2_32	treat3	treat
c2_33	treat3	treat
c2_41	treat4	treat
c2_42	treat4	treat
c2_43	treat4	treat
c2_51	treat5	treat
c2_52	treat5	treat
c2_53	treat5	treat
c2_11_ck	control1	control
c2_12_ck	control1	control
c2_13_ck	control1	control
c2_21_ck	control2	control
c2_22_ck	control2	control
c2_23_ck	control2	control
c2_31_ck	control3	control
c2_32_ck	control3	control
c2_33_ck	control3	control
c2_41_ck	control4	control
c2_42_ck	control4	control
c2_43_ck	control4	control
c2_51_ck	control5	control
c2_52_ck	control5	control
c2_53_ck	control5	control
